corpus,model,protocol,speaker_id,status,reason,n_required_seeds,n_complete_seeds,n_utterances_per_seed,uar_seed_mean,accuracy_seed_mean,macro_f1_seed_mean
cremad,resnet_se,loso,1062,complete,,3,3,82,0.62235449735449733,0.61382113821138207,0.5749573926951328
cremad,resnet_se,loso,1063,complete,,3,3,82,0.71230158730158732,0.70731707317073178,0.70030016708921783
cremad,resnet_se,loso,1064,complete,,3,3,82,0.59986772486772477,0.59349593495934949,0.56020847196553503
cremad,resnet_se,loso,1065,complete,,3,3,82,0.62235449735449733,0.61382113821138207,0.57224572899654158
cremad,resnet_se,loso,1066,complete,,3,3,82,0.66402116402116407,0.65853658536585369,0.64287085108169206
cremad,resnet_se,loso,1067,complete,,3,3,82,0.50595238095238093,0.5,0.47628749612828863
cremad,resnet_se,loso,1068,complete,,3,3,82,0.65608465608465594,0.65040650406504064,0.62861017187412749
cremad,resnet_se,loso,1069,complete,,3,3,82,0.59656084656084662,0.59756097560975618,0.59198096719924032
cremad,resnet_se,loso,1070,complete,,3,3,82,0.60648148148148151,0.60162601626016254,0.5400431283174737
cremad,resnet_se,loso,1071,complete,,3,3,82,0.52447089947089942,0.52439024390243905,0.51407358746667164
cremad,resnet_se,loso,1072,complete,,3,3,82,0.65079365079365081,0.64634146341463417,0.6158229088838717
cremad,resnet_se,loso,1073,complete,,3,3,82,0.65939153439153442,0.65447154471544722,0.63139415536834465
cremad,resnet_se,loso,1074,complete,,3,3,82,0.39814814814814814,0.38617886178861793,0.32194348531399086
cremad,resnet_se,loso,1075,complete,,3,3,82,0.50529100529100524,0.49593495934959347,0.46838127060910401
cremad,resnet_se,loso,1076,complete,,3,3,81,0.69624819624819623,0.68724279835390956,0.67238606050292316
cremad,resnet_se,loso,1077,complete,,3,3,82,0.54761904761904756,0.53658536585365857,0.48504910139887331
cremad,resnet_se,loso,1078,complete,,3,3,82,0.86706349206349209,0.86585365853658536,0.86635293678613401
cremad,resnet_se,loso,1079,complete,,3,3,82,0.59722222222222221,0.58943089430894302,0.58004650541518066
cremad,resnet_se,loso,1080,complete,,3,3,82,0.68187830687830686,0.67886178861788615,0.66678277222190108
cremad,resnet_se,loso,1081,complete,,3,3,82,0.72619047619047628,0.72764227642276413,0.72339594344976632
cremad,resnet_se,loso,1082,complete,,3,3,82,0.31812169312169314,0.32113821138211379,0.23662799971692339
cremad,resnet_se,loso,1083,complete,,3,3,82,0.54894179894179895,0.54878048780487809,0.52184482342980376
cremad,resnet_se,loso,1084,complete,,3,3,82,0.59920634920634919,0.58943089430894313,0.58175365163657489
cremad,resnet_se,loso,1085,complete,,3,3,82,0.64682539682539675,0.64227642276422758,0.61964691744210743
cremad,resnet_se,loso,1086,complete,,3,3,82,0.57539682539682546,0.57723577235772361,0.55715067291682774
cremad,resnet_se,loso,1087,complete,,3,3,82,0.49140211640211628,0.491869918699187,0.49253111015544038
cremad,resnet_se,loso,1088,complete,,3,3,82,0.58399470899470896,0.57723577235772361,0.55400063778280184
cremad,resnet_se,loso,1089,complete,,3,3,82,0.57142857142857151,0.57317073170731714,0.53384673724693055
cremad,resnet_se,loso,1090,complete,,3,3,82,0.57870370370370372,0.57317073170731714,0.56543246302555239
cremad,resnet_se,loso,1091,complete,,3,3,82,0.42460317460317459,0.42276422764227645,0.41109654513077287
cremad,transformer,random,1001,complete,,3,3,82,0.32275132275132273,0.32113821138211385,0.27851957525996834
cremad,transformer,random,1002,complete,,3,3,81,0.44949494949494945,0.4526748971193415,0.45899506499293791
cremad,transformer,random,1003,complete,,3,3,82,0.59589947089947082,0.59756097560975607,0.59945258354118869
cremad,transformer,random,1004,complete,,3,3,82,0.53703703703703709,0.54065040650406504,0.51549053886850749
cremad,transformer,random,1005,complete,,3,3,82,0.47949735449735448,0.47560975609756095,0.4598012586901476
cremad,transformer,random,1006,complete,,3,3,82,0.59589947089947104,0.58943089430894302,0.58658276513731211
cremad,transformer,random,1007,complete,,3,3,82,0.45502645502645506,0.44715447154471549,0.40300135189893321
cremad,transformer,random,1008,complete,,3,3,76,0.42890442890442898,0.42105263157894735,0.39297643696192508
cremad,transformer,random,1009,complete,,3,3,76,0.6048951048951049,0.60087719298245612,0.59690363590245432
cremad,transformer,random,1010,complete,,3,3,82,0.60582010582010593,0.60569105691056901,0.60239221194356529
cremad,transformer,random,1011,complete,,3,3,82,0.5806878306878307,0.57723577235772361,0.55615272069537569
cremad,transformer,random,1012,complete,,3,3,82,0.49801587301587302,0.49593495934959347,0.50474578731642916
cremad,transformer,random,1013,complete,,3,3,82,0.60317460317460314,0.59756097560975607,0.575084442044698
cremad,transformer,random,1014,complete,,3,3,82,0.58862433862433861,0.59756097560975618,0.57499070585824086
cremad,transformer,random,1015,complete,,3,3,82,0.45965608465608465,0.4593495934959349,0.43288126004052357
cremad,transformer,random,1016,complete,,3,3,82,0.5257936507936507,0.52439024390243905,0.51404069208132863
cremad,transformer,random,1017,complete,,3,3,82,0.48875661375661378,0.48373983739837395,0.43893045379524787
cremad,transformer,random,1018,complete,,3,3,82,0.62896825396825395,0.62195121951219512,0.59535843986224435
cremad,transformer,random,1019,complete,,3,3,76,0.46853146853146854,0.46491228070175433,0.44465842097400538
cremad,transformer,random,1020,complete,,3,3,82,0.63690476190476186,0.63414634146341464,0.63323506837154564
