corpus,model,protocol,seed,speaker_id,status,reason,n_utterances,uar,accuracy,macro_f1
ravdess,resnet_se,random,1,24,complete,,60,0.671875,0.66666666666666663,0.61719357031857025
ravdess,resnet_se,random,2,01,complete,,60,0.640625,0.6166666666666667,0.61217342598921554
ravdess,resnet_se,random,2,02,complete,,60,0.8125,0.80000000000000004,0.7786131996658312
ravdess,resnet_se,random,2,03,complete,,60,0.65625,0.68333333333333335,0.64382771833429719
ravdess,resnet_se,random,2,04,complete,,60,0.65625,0.65000000000000002,0.63732627022100696
ravdess,resnet_se,random,2,05,complete,,60,0.546875,0.51666666666666672,0.45765773614070826
ravdess,resnet_se,random,2,06,complete,,60,0.6875,0.66666666666666663,0.6598645817976313
ravdess,resnet_se,random,2,07,complete,,60,0.53125,0.55000000000000004,0.51737394549894544
ravdess,resnet_se,random,2,08,complete,,60,0.765625,0.75,0.73645176310617488
ravdess,resnet_se,random,2,09,complete,,60,0.53125,0.55000000000000004,0.50337898816159687
ravdess,resnet_se,random,2,10,complete,,60,0.578125,0.58333333333333337,0.56904761904761902
ravdess,resnet_se,random,2,11,complete,,60,0.515625,0.53333333333333333,0.45957547762694817
ravdess,resnet_se,random,2,12,complete,,60,0.703125,0.69999999999999996,0.69276914713253723
ravdess,resnet_se,random,2,13,complete,,60,0.46875,0.45000000000000001,0.44129273504273508
ravdess,resnet_se,random,2,14,complete,,60,0.546875,0.55000000000000004,0.52388888888888885
ravdess,resnet_se,random,2,15,complete,,60,0.640625,0.6166666666666667,0.63323412698412695
ravdess,resnet_se,random,2,16,complete,,60,0.734375,0.73333333333333328,0.72802579365079367
ravdess,resnet_se,random,2,17,complete,,60,0.609375,0.58333333333333337,0.54267676767676765
ravdess,resnet_se,random,2,18,complete,,60,0.71875,0.71666666666666667,0.70347897931102266
ravdess,resnet_se,random,2,19,complete,,60,0.65625,0.6333333333333333,0.61196238402120762
ravdess,resnet_se,random,2,20,complete,,60,0.671875,0.66666666666666663,0.65951797385620914
ravdess,resnet_se,random,2,21,complete,,60,0.703125,0.69999999999999996,0.68011434837092732
ravdess,resnet_se,random,2,22,complete,,60,0.71875,0.69999999999999996,0.69894347246320931
ravdess,resnet_se,random,2,23,complete,,60,0.703125,0.68333333333333335,0.63749387867034923
ravdess,resnet_se,random,2,24,complete,,60,0.6875,0.66666666666666663,0.63759695971383279
ravdess,resnet_se,groupkfold,0,01,complete,,60,0.421875,0.41666666666666669,0.40493943191311615
ravdess,resnet_se,groupkfold,0,02,complete,,60,0.65625,0.6333333333333333,0.56838120814514004
ravdess,resnet_se,groupkfold,0,03,complete,,60,0.546875,0.55000000000000004,0.48538510101010102
ravdess,resnet_se,groupkfold,0,04,complete,,60,0.484375,0.48333333333333334,0.4563660990712074
ravdess,resnet_se,groupkfold,0,05,complete,,60,0.4375,0.43333333333333335,0.36565514227152157
ravdess,resnet_se,groupkfold,0,06,complete,,60,0.515625,0.55000000000000004,0.45078985342143235
ravdess,resnet_se,groupkfold,0,07,complete,,60,0.515625,0.55000000000000004,0.52174185463659151
ravdess,resnet_se,groupkfold,0,08,complete,,60,0.609375,0.58333333333333337,0.54218391902215424
ravdess,resnet_se,groupkfold,0,09,complete,,60,0.34375,0.36666666666666664,0.31594765528589058
ravdess,resnet_se,groupkfold,0,10,complete,,60,0.40625,0.41666666666666669,0.38779865967365967
ravdess,resnet_se,groupkfold,0,11,complete,,60,0.5,0.51666666666666672,0.46576888024256446
ravdess,resnet_se,groupkfold,0,12,complete,,60,0.59375,0.58333333333333337,0.53753633621280672
ravdess,resnet_se,groupkfold,0,13,complete,,60,0.28125,0.25,0.19943858225108227
ravdess,resnet_se,groupkfold,0,14,complete,,60,0.5625,0.53333333333333333,0.50696969696969696
