level,model,b,speaker,coverage,accepted_error,n_utts,n_reps,n_defined_risk_reps
cremad,cnn,0.3,1067,0.6747967479674797,0.5784925276153347,82,3,3
cremad,cnn,0.3,1068,0.6666666666666666,0.2862725779967159,82,3,3
cremad,cnn,0.3,1069,0.6422764227642276,0.32095675149492425,82,3,3
cremad,cnn,0.3,1070,0.6747967479674797,0.2943019943019943,82,3,3
cremad,cnn,0.3,1071,0.7601626016260162,0.5025514853289593,82,3,3
cremad,cnn,0.3,1072,0.6910569105691057,0.18540792540792542,82,3,3
cremad,cnn,0.3,1073,0.6341463414634146,0.3266080156402737,82,3,3
cremad,cnn,0.3,1074,0.7154471544715447,0.5231115786131069,82,3,3
cremad,cnn,0.3,1075,0.8495934959349594,0.5884057971014492,82,3,3
cremad,cnn,0.3,1076,0.5666666666666667,0.2723027375201288,80,3,3
cremad,cnn,0.3,1077,0.7113821138211381,0.4827403583399746,82,3,3
cremad,cnn,0.3,1078,0.7520325203252032,0.21065375302663436,82,3,3
cremad,cnn,0.3,1079,0.7764227642276422,0.4182595182595183,82,3,3
cremad,cnn,0.3,1080,0.8089430894308943,0.29825578186233925,82,3,3
cremad,cnn,0.3,1081,0.7398373983739838,0.23943153620572977,82,3,3
cremad,cnn,0.3,1082,0.6178861788617888,0.6558900037160907,82,3,3
cremad,cnn,0.3,1083,0.6788617886178862,0.40041862715945725,82,3,3
cremad,cnn,0.3,1084,0.6016260162601625,0.39277777777777784,82,3,3
cremad,cnn,0.3,1085,0.7073170731707318,0.27477718727255246,82,3,3
cremad,cnn,0.3,1086,0.6463414634146342,0.43488778610729834,82,3,3
cremad,cnn,0.3,1087,0.6585365853658537,0.5274585666030379,82,3,3
cremad,cnn,0.3,1088,0.7357723577235773,0.3761307390339648,82,3,3
cremad,cnn,0.3,1089,0.6300813008130081,0.3609288824383164,82,3,3
cremad,cnn,0.3,1090,0.6626016260162602,0.31886961520254276,82,3,3
cremad,cnn,0.3,1091,0.6504065040650406,0.5568654615824427,82,3,3
cremad,hubert_base,0.1,1001,0.8617886178861789,0.44268181224702957,82,3,3
cremad,hubert_base,0.1,1002,0.8724279835390947,0.3536107863944343,81,3,3
cremad,hubert_base,0.1,1003,0.8902439024390244,0.20494386651560406,82,3,3
cremad,hubert_base,0.1,1004,0.8821138211382115,0.24016798488629476,82,3,3
cremad,hubert_base,0.1,1005,0.9227642276422765,0.2648062904010993,82,3,3
cremad,hubert_base,0.1,1006,0.9291666666666667,0.27342465753424655,80,3,3
cremad,hubert_base,0.1,1007,0.9186991869918698,0.45167401692275516,82,3,3
cremad,hubert_base,0.1,1008,0.8815789473684209,0.34845393988807355,76,3,3
cremad,hubert_base,0.1,1009,0.9078947368421053,0.2660298638559508,76,3,3
cremad,hubert_base,0.1,1010,0.8455284552845529,0.1826777087646653,82,3,3
cremad,hubert_base,0.1,1011,0.9390243902439024,0.18153846153846154,82,3,3
cremad,hubert_base,0.1,1012,0.8739837398373984,0.14006250408345494,82,3,3
cremad,hubert_base,0.1,1013,0.9583333333333334,0.13455763455763456,80,3,3
cremad,hubert_base,0.1,1014,0.9146341463414634,0.16902639481586848,82,3,3
cremad,hubert_base,0.1,1015,0.8739837398373984,0.33850570957742593,82,3,3
cremad,hubert_base,0.1,1016,0.8414634146341463,0.3002562204287808,82,3,3
cremad,hubert_base,0.1,1017,0.8833333333333333,0.4807511202248045,80,3,3
cremad,hubert_base,0.1,1018,0.9349593495934959,0.15592515592515593,82,3,3
cremad,hubert_base,0.1,1019,0.8201754385964911,0.25591931216931213,76,3,3
cremad,hubert_base,0.1,1020,0.926829268292683,0.12280701754385964,82,3,3
cremad,hubert_base,0.1,1021,0.910569105691057,0.37462308739886246,82,3,3
cremad,hubert_base,0.1,1022,0.8983739837398375,0.15384923495954497,82,3,3
cremad,hubert_base,0.1,1023,0.8821138211382115,0.334831579643968,82,3,3
cremad,hubert_base,0.1,1024,0.9105691056910569,0.2976694354159143,82,3,3
cremad,hubert_base,0.1,1025,0.9227642276422764,0.24702573386783913,82,3,3
cremad,hubert_base,0.1,1026,0.9024390243902438,0.18809358809358812,82,3,3
cremad,hubert_base,0.1,1027,0.8780487804878049,0.28250834280160925,82,3,3
cremad,hubert_base,0.1,1028,0.9308943089430893,0.3014058014058014,82,3,3
cremad,hubert_base,0.1,1029,0.9308943089430893,0.31901875901875903,82,3,3
